WBS ID,Title,Description,Phase,Type,Status,Assignee,Start date,Due date,Effort,Priority,Blocked by,Deliverable,Deliverable type,Repo / Path,Technical Difficulty,Is risk ?,Murphy ID,Risk – Cause,Risk – Effect,Risk – Category,Probability,Impact / Gravité,Risk score,Response strategy,Mitigation plan,Contingency plan,Risk owner,Workstream,Review needed ?,Links
,Runs d’un même sujet partagés entre train et test,"Cause: Split fait au niveau epoch, pas au niveau run/sujet | Symptômes: Leak massif de distribution temporelle | Détection: Tagger chaque epoch avec (sujet, run) et vérifier la séparation | Prévention: Utiliser GroupKFold par sujet ou (sujet, run) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-693,"Split fait au niveau epoch, pas au niveau run/sujet","Accuracy test irréaliste, subject §V.1.4 non respecté",EEG / Signal,3 – Possible,5 – Catastrophique,15,,"Utiliser GroupKFold par sujet ou (sujet, run)","Tagger chaque epoch avec (sujet, run) et vérifier la séparation",,R&D EEG,Pas de review,
,Certaines epochs créées sans label associé (NaN ou placeholder),"Cause: Mauvaise jointure entre events et structure de labels | Symptômes: Exceptions intermittentes ou drop silencieux de données | Détection: Chercher NaN dans y et dans la metadata associée aux epochs | Prévention: Interdire NaN dans y, imposer un mapping exhaustif | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",2 – Prétraitement / Filtrage,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-694,Mauvaise jointure entre events et structure de labels,Distribution des labels ne correspond plus au dataset brut,EEG / Signal,3 – Possible,5 – Catastrophique,15,,"Interdire NaN dans y, imposer un mapping exhaustif",Chercher NaN dans y et dans la metadata associée aux epochs,,R&D EEG,Pas de review,
,Utilisation d’une fenêtre de Hann inadaptée à la longueur d’epoch,Cause: Copie de paramètres par défaut sans vérifier durée d’epoch | Symptômes: Résolution fréquentielle trop grossière pour 8–40 Hz | Détection: Comparer résolution en Hz = fs / n_fft | Prévention: Adapter n_fft pour obtenir une résolution suffisante dans 8–40 Hz | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-695,Copie de paramètres par défaut sans vérifier durée d’epoch,"Perte de finesse sur bandes mu/beta, patterns lissés",Model,3 – Possible,5 – Catastrophique,15,,Adapter n_fft pour obtenir une résolution suffisante dans 8–40 Hz,Comparer résolution en Hz = fs / n_fft,,Pipeline ML,Pas de review,
,"Mélange des axes (freq, channel) dans le flatten final","Cause: np.reshape(-1) sans convention explicite | Symptômes: Impossible de retrouver quelles features appartiennent à quelles bandes | Détection: Logguer shape avant/ après reshape, documenter l’ordre | Prévention: Encapsuler reshape dans une fonction dédiée testée | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-696,np.reshape(-1) sans convention explicite,Difficile de diagnostiquer quelles bandes sont réellement utiles,Model,3 – Possible,5 – Catastrophique,15,,Encapsuler reshape dans une fonction dédiée testée,"Logguer shape avant/ après reshape, documenter l’ordre",,Pipeline ML,Pas de review,
,StandardScaler fit sur train+test au lieu de train uniquement,"Cause: Pipeline monté manuellement hors sklearn.Pipeline | Symptômes: Leak massif, scores CV trop optimistes | Détection: Tracer où est appelé fit du scaler, vérifier sur quels indices | Prévention: Mettre le scaler dans sklearn.Pipeline complet | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-697,Pipeline monté manuellement hors sklearn.Pipeline,Chute brutale de l’accuracy sur sujet vraiment unseen,Model,3 – Possible,5 – Catastrophique,15,,Mettre le scaler dans sklearn.Pipeline complet,"Tracer où est appelé fit du scaler, vérifier sur quels indices",,Pipeline ML,Pas de review,
,Choix arbitraire de bandes autres que 8–40 Hz sans justification,Cause: Portage d’un autre projet EEG non MI | Symptômes: Suppression de bandes mu/beta critiques | Détection: Comparer PSD moyenne par classe sur [0–80Hz] | Prévention: Restreindre features principales à 8–40 Hz pour MI | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-698,Portage d’un autre projet EEG non MI,Non-respect checklist 'significative frequencies ~8–40Hz',Model,3 – Possible,5 – Catastrophique,15,,Restreindre features principales à 8–40 Hz pour MI,Comparer PSD moyenne par classe sur [0–80Hz],,Pipeline ML,Pas de review,
,Agglomération de features par moyennes grossières,Cause: Volonté de réduire la dimension avant CSP/PCA | Symptômes: Perte d’information discriminante finement spatiale/fréquentielle | Détection: Analyser variance expliquée par composantes pré-CSP/PCA | Prévention: Conserver un nombre minimal de features par channel/bande | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-699,Volonté de réduire la dimension avant CSP/PCA,"Modèle sous-paramétré, plateau bas d’accuracy",Model,3 – Possible,5 – Catastrophique,15,,Conserver un nombre minimal de features par channel/bande,Analyser variance expliquée par composantes pré-CSP/PCA,,Pipeline ML,Pas de review,
,Logique de construction de X différente entre scripts train et predict,Cause: Duplication de code de feature engineering | Symptômes: Shapes identiques mais sémantique différente des features | Détection: Comparer numériquement X_train[0] et X_predict sur un même epoch | Prévention: Factoriser la construction de features dans un module unique | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-700,Duplication de code de feature engineering,Comportement différent entre cross_val_score et prédiction temps réel,Model,3 – Possible,5 – Catastrophique,15,,Factoriser la construction de features dans un module unique,Comparer numériquement X_train[0] et X_predict sur un même epoch,,Pipeline ML,Pas de review,
,Pas de contrôle sur le stride des fenêtres glissantes,Cause: Choix d’un stride trop petit par rapport à la corrélation temporelle | Symptômes: Nombre massif de fenêtres très redondantes | Détection: Afficher n_windows par epoch et le ratio overlap | Prévention: Fixer un stride minimal (ex: 50% de la fenêtre) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-701,Choix d’un stride trop petit par rapport à la corrélation temporelle,Leakage temporel et gonflement artificiel des données,Model,3 – Possible,5 – Catastrophique,15,,Fixer un stride minimal (ex: 50% de la fenêtre),Afficher n_windows par epoch et le ratio overlap,,Pipeline ML,Pas de review,
,Concaténation brute features temps + fréquence sans normalisation commune,"Cause: Mélange d’échelles très différentes dans le même vecteur | Symptômes: Classifier dominé par les composantes de plus grande amplitude | Détection: Analyser échelles des deux blocs de features séparément | Prévention: Normaliser chaque bloc (temps, freq) avant concaténation | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-702,Mélange d’échelles très différentes dans le même vecteur,Réduction de dimension se focalise sur les mauvaises parties du vecteur,Model,3 – Possible,5 – Catastrophique,15,,"Normaliser chaque bloc (temps, freq) avant concaténation",Analyser échelles des deux blocs de features séparément,,Pipeline ML,Pas de review,
,Ajout involontaire d’indices de trial ou d’ID subject dans X,"Cause: Debug feature ajoutée puis oubliée pour le modèle final | Symptômes: Accuracy proche de 1.0 en cross_val_score, chute sur vrai sujet unseen | Détection: Vérifier que X ne contient que des transformations du signal EEG brut | Prévention: Supprimer toute meta non dérivée du signal dans X | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-703,Debug feature ajoutée puis oubliée pour le modèle final,Cheat involontaire par fuite d’ID,Model,3 – Possible,5 – Catastrophique,15,,Supprimer toute meta non dérivée du signal dans X,Vérifier que X ne contient que des transformations du signal EEG brut,,Pipeline ML,Pas de review,
,Augmentations incohérentes (ex: time-reversal) pour MI,Cause: Copie de techniques d’augmentation non adaptées à EEG | Symptômes: Patterns MI inversés physiquement impossibles | Détection: Analyser sémantique physiologique des augmentations appliquées | Prévention: Limiter aux augmentations EEG physiquement plausibles | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-704,Copie de techniques d’augmentation non adaptées à EEG,Modèle sur-apprend des invariances inexistantes,Model,3 – Possible,5 – Catastrophique,15,,Limiter aux augmentations EEG physiquement plausibles,Analyser sémantique physiologique des augmentations appliquées,,Pipeline ML,Pas de review,
,Features identiques pour tous les trials d’un sujet,"Cause: Erreur d’indexation qui prend toujours la même fenêtre | Symptômes: Accuracy proche d’un random constant | Détection: Vérifier variance par feature et par trial (np.var, axis=0) | Prévention: Ajouter des assertions sur la variance minimale de X | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-705,Erreur d’indexation qui prend toujours la même fenêtre,Absence totale de variance dans X pour un sujet,Model,3 – Possible,5 – Catastrophique,15,,Ajouter des assertions sur la variance minimale de X,"Vérifier variance par feature et par trial (np.var, axis=0)",,Pipeline ML,Pas de review,
,Features très fortement asymétriques (longues queues) non transformées,"Cause: Paramètres ML sensibles à la distribution (LogReg sans regularisation adaptée) | Symptômes: Décision boundary dominée par quelques outliers | Détection: Inspecter histogrammes/log-hist de chaque feature | Prévention: Appliquer transformations (log, sqrt) aux features très skewed | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-706,Paramètres ML sensibles à la distribution (LogReg sans regularisation adaptée),Instabilité des poids appris d’un run à l’autre,Model,3 – Possible,5 – Catastrophique,15,,"Appliquer transformations (log, sqrt) aux features très skewed",Inspecter histogrammes/log-hist de chaque feature,,Pipeline ML,Pas de review,
,NaN introduits par divisions ou logs sans filtre,Cause: Filtrage ou normalisation opérant sur des données vides | Symptômes: Sklearn rejette des samples ou lève des exceptions en fit/predict | Détection: Scanner X pour NaN/inf après chaque étape majeure | Prévention: Remplacer ou dropper les samples fautifs de manière contrôlée | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-707,Filtrage ou normalisation opérant sur des données vides,Déséquilibre difficile à diagnostiquer dans X,Model,3 – Possible,5 – Catastrophique,15,,Remplacer ou dropper les samples fautifs de manière contrôlée,Scanner X pour NaN/inf après chaque étape majeure,,Pipeline ML,Pas de review,
,Usage de générateurs aléatoires sans seed fixé pour certaines transformations,Cause: Initialisation aléatoire dans une étape de features non contrôlée | Symptômes: Différences de X d’un run à l’autre à données identiques | Détection: Comparer X généré sur deux runs avec les mêmes données | Prévention: Fixer un random_state global dans toutes les étapes stochastiques | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-708,Initialisation aléatoire dans une étape de features non contrôlée,Impossible de reproduire un score donné en défense,Model,3 – Possible,5 – Catastrophique,15,,Fixer un random_state global dans toutes les étapes stochastiques,Comparer X généré sur deux runs avec les mêmes données,,Pipeline ML,Pas de review,
,Explosion du nombre de features (ch×freq×time×windows),"Cause: Pas de réflexion sur la complexité O(N*d) | Symptômes: Temps de fit prohibitif, voire OOM sur machines 42 | Détection: Mesurer temps de fit pour différentes tailles de feature set | Prévention: Appliquer une pré-sélection de features ou réduction raisonnable | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-709,Pas de réflexion sur la complexité O(N*d),Incapacité à terminer cross_val_score dans le temps de la défense,Model,3 – Possible,5 – Catastrophique,15,,Appliquer une pré-sélection de features ou réduction raisonnable,Mesurer temps de fit pour différentes tailles de feature set,,Pipeline ML,Pas de review,
,Whitening ignoré avant calcul des patterns spatiaux,"Cause: Implémentation CSP incomplète par rapport à la littérature | Symptômes: Filtres apprennent surtout la covariance globale, peu discriminante | Détection: Comparer implémentation avec une librairie CSP de référence | Prévention: Ajouter étape de whitening explicite dans le pipeline CSP | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-710,Implémentation CSP incomplète par rapport à la littérature,"Gains de variance inter-classes faibles, patterns peu interprétables",Model,3 – Possible,5 – Catastrophique,15,,Ajouter étape de whitening explicite dans le pipeline CSP,Comparer implémentation avec une librairie CSP de référence,,Pipeline ML,Pas de review,
,Nombre de filtres CSP fixé trop élevé vs nombre d’epochs,"Cause: Envie de capturer 'tous les patterns' sans contrainte statistique | Symptômes: Covariance mal estimée, filtres bruités | Détection: Comparer stability des filtres CSP entre folds de CV | Prévention: Limiter n_filters à un ratio raisonnable du nombre d’epochs | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-711,Envie de capturer 'tous les patterns' sans contrainte statistique,Modèle hautement instable d’un split à l’autre,Model,3 – Possible,5 – Catastrophique,15,,Limiter n_filters à un ratio raisonnable du nombre d’epochs,Comparer stability des filtres CSP entre folds de CV,,Pipeline ML,Pas de review,
,"Choix d’un nombre de composantes PCA arbitraire (ex: 2, 3)",Cause: Absence de vérification de la variance expliquée | Symptômes: Perte de la majorité de l’information discriminante | Détection: Afficher cumulative explained variance ratio | Prévention: Choisir n_components pour couvrir ex: 95% de la variance | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-712,Absence de vérification de la variance expliquée,CSP/Classifier en aval opère sur un sous-espace trop réduit,Model,3 – Possible,5 – Catastrophique,15,,Choisir n_components pour couvrir ex: 95% de la variance,Afficher cumulative explained variance ratio,,Pipeline ML,Pas de review,
,PCA fit sur train+test au lieu de train uniquement,Cause: Mauvaise intégration de PCA hors sklearn.Pipeline | Symptômes: Leak d’information structurelle du test dans le training | Détection: Vérifier sur quel X est appelé PCA.fit | Prévention: Mettre PCA dans le Pipeline complet avant le classifier | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-713,Mauvaise intégration de PCA hors sklearn.Pipeline,Cross_val_score surestime les performances réelles,Model,3 – Possible,5 – Catastrophique,15,,Mettre PCA dans le Pipeline complet avant le classifier,Vérifier sur quel X est appelé PCA.fit,,Pipeline ML,Pas de review,
,Usage d’ICA sans contrôler convergence ni initialisation,"Cause: Paramètres par défaut inadéquats pour EEG bruité | Symptômes: Composantes instables, très différentes d’un run à l’autre | Détection: Comparer les ICs sur plusieurs runs avec le même seed | Prévention: Fixer random_state et critères de convergence explicites | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-714,Paramètres par défaut inadéquats pour EEG bruité,Difficile d’interpréter/fiabiliser les features ICA,Model,3 – Possible,5 – Catastrophique,15,,Fixer random_state et critères de convergence explicites,Comparer les ICs sur plusieurs runs avec le même seed,,Pipeline ML,Pas de review,
,Algorithme de réduction maison non testé sur un dataset jouet,"Cause: Implémentation ad hoc complexe sans baseline de référence | Symptômes: Difficile de repérer les bugs logiques ou mathématiques | Détection: Tester l’algo sur un dataset synthétique bien compris | Prévention: Comparer aux résultats d’un algo standard (CSP, PCA) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-715,Implémentation ad hoc complexe sans baseline de référence,Performance erratique par rapport à CSP/PCA standard,Model,3 – Possible,5 – Catastrophique,15,,"Comparer aux résultats d’un algo standard (CSP, PCA)",Tester l’algo sur un dataset synthétique bien compris,,Pipeline ML,Pas de review,
,Pas de shrinkage ou régularisation pour matrices mal conditionnées,"Cause: Covariance estimée sur peu d’epochs, bruitée | Symptômes: Inversion numérique instable, valeurs propres négatives | Détection: Inspecter condition number des matrices de covariance | Prévention: Ajouter une régularisation de type shrinkage (ex: alpha*I) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-716,"Covariance estimée sur peu d’epochs, bruitée",Runtime errors ou filtres extrêmement sensibles au bruit,Model,3 – Possible,5 – Catastrophique,15,,Ajouter une régularisation de type shrinkage (ex: alpha*I),Inspecter condition number des matrices de covariance,,Pipeline ML,Pas de review,
,Classe de réduction ne passe pas check_estimator,"Cause: Interface fit/transform partiellement respectée | Symptômes: Comportement différent selon qu’on utilise ou non Pipeline | Détection: Lancer sklearn.utils.estimator_checks.check_estimator | Prévention: Corriger la signature et les attributs (fit, transform, n_features_in_) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-717,Interface fit/transform partiellement respectée,Usage dans sklearn.grid_search ou CV difficile,Model,3 – Possible,5 – Catastrophique,15,,"Corriger la signature et les attributs (fit, transform, n_features_in_)",Lancer sklearn.utils.estimator_checks.check_estimator,,Pipeline ML,Pas de review,
,W recalculée à chaque prédiction au lieu d’être fixée après entraînement,"Cause: Confusion entre fit et predict dans l’implémentation | Symptômes: Pipeline imprévisible, temps réel plus lent que nécessaire | Détection: Tracer un hash de W après fit et le vérifier en predict | Prévention: Sauvegarder W comme attribut figé après fit | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-718,Confusion entre fit et predict dans l’implémentation,Décisions divergentes entre deux runs sur la même donnée,Model,3 – Possible,5 – Catastrophique,15,,Sauvegarder W comme attribut figé après fit,Tracer un hash de W après fit et le vérifier en predict,,Pipeline ML,Pas de review,
,Aucune vérification de la topographie des filtres spatiaux,"Cause: CSP/PCA vus comme 'boîte noire' sans contrôle humain | Symptômes: Filtres incohérents avec la physiologie attendue (ex: canaux frontaux) | Détection: Projeter les filtres sur le scalp avec les outils MNE | Prévention: Comparer patterns obtenus à la littérature MI (mu/beta, zones motrices) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-719,CSP/PCA vus comme 'boîte noire' sans contrôle humain,Doute sur la validité scientifique des patterns appris,Model,3 – Possible,5 – Catastrophique,15,,"Comparer patterns obtenus à la littérature MI (mu/beta, zones motrices)",Projeter les filtres sur le scalp avec les outils MNE,,Pipeline ML,Pas de review,
,Combinaison PCA→CSP→PCA sans justification,Cause: Empilement successif pour 'améliorer le score' | Symptômes: Difficile de comprendre quel bloc fait quoi | Détection: Analyser l’effet de chaque bloc séparément | Prévention: Réduire à une chaîne simple (ex: CSP→Classifier) pour baseline | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-720,Empilement successif pour 'améliorer le score',Risque de surcompression et de surapprentissage,Model,3 – Possible,5 – Catastrophique,15,,Réduire à une chaîne simple (ex: CSP→Classifier) pour baseline,Analyser l’effet de chaque bloc séparément,,Pipeline ML,Pas de review,
,Choix d’un algo de réduction O(d^3) sur des features très hautes dim.,Cause: Ignorance du coût des décompositions SVD/eigen | Symptômes: Temps de fit prohibitif dans cross_val_score | Détection: Profiler temps de calcul par étape de réduction | Prévention: Choisir un algo plus léger ou réduire d avant réduction | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-721,Ignorance du coût des décompositions SVD/eigen,Cross_val_score impraticable sur machines 42,Model,3 – Possible,5 – Catastrophique,15,,Choisir un algo plus léger ou réduire d avant réduction,Profiler temps de calcul par étape de réduction,,Pipeline ML,Pas de review,
,Réduction sensible à la mise à l’échelle des features (ex: PCA non centrée),Cause: Oubli du centrage/mise à l’échelle avant la réduction | Symptômes: Composantes dominées par features au plus grand écart-type | Détection: Vérifier si les données sont centrées avant réduction | Prévention: Ajouter un scaler approprié avant l’étape de réduction | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-722,Oubli du centrage/mise à l’échelle avant la réduction,Loss de directions réellement informatives,Model,3 – Possible,5 – Catastrophique,15,,Ajouter un scaler approprié avant l’étape de réduction,Vérifier si les données sont centrées avant réduction,,Pipeline ML,Pas de review,
,Réduction validée uniquement sur un sujet ou un run,Cause: Supposition que le comportement sera identique sur tous | Symptômes: Collapse de performance sur d’autres sujets/runs | Détection: Évaluer la même réduction sur plusieurs sujets et runs | Prévention: Concevoir une validation croisée multi-sujets | Test: Appliquer la détection décrite et vérifier la disparition du symptôme,3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-723,Supposition que le comportement sera identique sur tous,Surajustement de la réduction à un seul ensemble,Model,3 – Possible,5 – Catastrophique,15,,Concevoir une validation croisée multi-sujets,Évaluer la même réduction sur plusieurs sujets et runs,,Pipeline ML,Pas de review,
,Résultats de réduction différents selon la machine/BLAS,"Cause: Appui sur des décompositions non déterministes sans seed | Symptômes: Mêmes données, même code, W différente | Détection: Comparer W entre plusieurs exécutions sur la même machine | Prévention: Fixer autant que possible la chaîne numérique (seed, lib) | Test: Appliquer la détection décrite et vérifier la disparition du symptôme",3 – Features / ICA,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-724,Appui sur des décompositions non déterministes sans seed,Difficile de reproduire un comportement en défense,Model,3 – Possible,5 – Catastrophique,15,,"Fixer autant que possible la chaîne numérique (seed, lib)",Comparer W entre plusieurs exécutions sur la même machine,,Pipeline ML,Pas de review,
,Latence totale >2s,"Cause: Accumulation FFT + PCA + classifier | Symptômes: Prédiction dépasse le temps réel | Détection: Profiler chaque étape (time.perf_counter) | Prévention: Pipeline warm-up + optimisation n_fft | Test: Script mesure: fit puis 100 predicts, latence <2s",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-725,Accumulation FFT + PCA + classifier,Non-respect checklist realtime,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Pipeline warm-up + optimisation n_fft,Profiler chaque étape (time.perf_counter),,Dev / Infra,Pas de review,
,Pas d'appel dummy avant prédiction,Cause: JIT numpy/BLAS non initialisé | Symptômes: Premier predict très lent | Détection: Comparer predict#1 vs predict#2 | Prévention: Effectuer warm-up sur un epoch factice | Test: Test: delta predict1/2 <20%,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-726,JIT numpy/BLAS non initialisé,Spike de latence,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Effectuer warm-up sur un epoch factice,Comparer predict#1 vs predict#2,,Dev / Infra,Pas de review,
,Blocage sur I/O EEG,Cause: Predict synchrone | Symptômes: Jitter visible | Détection: Tracer timestamps predict | Prévention: Thread dédié ou pré-buffer | Test: Test: jitter<100ms,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-729,Predict synchrone,Événements retardés,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Thread dédié ou pré-buffer,Tracer timestamps predict,,Dev / Infra,Pas de review,
,n_fft énorme (4096),Cause: Copié d’un autre projet | Symptômes: Temps FFT irrealisable 42 | Détection: Profiler FFT seule | Prévention: Adapter n_fft=fs*1s | Test: Test: FFT<0.5s,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-730,Copié d’un autre projet,Predict >3s,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Adapter n_fft=fs*1s,Profiler FFT seule,,Dev / Infra,Pas de review,
,Données non normalisées,Cause: Valeurs trop grandes | Symptômes: Temps PCA/Classifier élevé | Détection: Inspecter max/min Xstream | Prévention: Scaler dans pipeline | Test: Test: scaler actif=True,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-731,Valeurs trop grandes,Latence augmente,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Scaler dans pipeline,Inspecter max/min Xstream,,Dev / Infra,Pas de review,
,PCA calculée hors Pipeline,Cause: Deux étapes séparées | Symptômes: Deux passes compute | Détection: Comparer temps avec pipeline unique | Prévention: Remettre PCA dans pipeline | Test: Test: predict_time dropped 40%,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-732,Deux étapes séparées,Latence doublée,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Remettre PCA dans pipeline,Comparer temps avec pipeline unique,,Dev / Infra,Pas de review,
,n_filters trop haut,Cause: 20–30 filtres CSP | Symptômes: CSP transform lent | Détection: Analyser temps transform CSP | Prévention: Limiter n_filters 2–6 | Test: Test: CSP time<0.3s,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-733,20–30 filtres CSP,Predict lent,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Limiter n_filters 2–6,Analyser temps transform CSP,,Dev / Infra,Pas de review,
,W recalculée,Cause: Implémentation incorrecte | Symptômes: Recalcul lourd | Détection: Logger hash W | Prévention: Geler W après fit | Test: Test: hash W stable,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-734,Implémentation incorrecte,Predict oscillant,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Geler W après fit,Logger hash W,,Dev / Infra,Pas de review,
,Charge fluctuante,Cause: Pas de contrôle | Symptômes: Latency variance | Détection: Mesurer variance latence | Prévention: Fixer threads BLAS/OMP | Test: Test: var(predict)<20%,6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-735,Pas de contrôle,Predict instable,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Fixer threads BLAS/OMP,Mesurer variance latence,,Dev / Infra,Pas de review,
,Boucles Python,"Cause: Implémentation naïve | Symptômes: Compute lent | Détection: Profiler ligne/ligne | Prévention: Vectoriser via numpy | Test: Test: same result, 5× faster",6 – Infra / CI/CD,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-736,Implémentation naïve,Predict>2s,Infra / CI/CD,3 – Possible,5 – Catastrophique,15,,Vectoriser via numpy,Profiler ligne/ligne,,Dev / Infra,Pas de review,
,CrossVal leakage,Cause: Split epoch-level | Symptômes: Leak inter-runs | Détection: Tag subject/run | Prévention: GroupKFold | Test: Test: run unique/acc drop,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-737,Split epoch-level,Accuracy déraisonnable,Planning,3 – Possible,5 – Catastrophique,15,,GroupKFold,Tag subject/run,,Pipeline ML,Pas de review,
,Seed non fixé,Cause: Variabilité entre runs | Symptômes: Score instable | Détection: Comparer deux runs | Prévention: Fix random_state | Test: Test: diff<5pts,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-738,Variabilité entre runs,Impossible reproduire,Planning,3 – Possible,5 – Catastrophique,15,,Fix random_state,Comparer deux runs,,Pipeline ML,Pas de review,
,Runs déséquilibrés,Cause: dataset hetero | Symptômes: Train bias sujet riche | Détection: Analyser n_runs/class | Prévention: Équilibrer | Test: Test: acc per-run stable,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-739,dataset hetero,Slump sur unseen,Planning,3 – Possible,5 – Catastrophique,15,,Équilibrer,Analyser n_runs/class,,Pipeline ML,Pas de review,
,Scaler fit global,Cause: Fit Xtrain+Xtest | Symptômes: Leak massif | Détection: Inspecter fit | Prévention: Scaler in Pipeline | Test: Test: CV baisse attendu,5 – Évaluation / Validation,Risk,Backlog,,,,,Must,,,,,,Yes,TPV-740,Fit Xtrain+Xtest,CV surestimé,Planning,3 – Possible,5 – Catastrophique,15,,Scaler in Pipeline,Inspecter fit,,Pipeline ML,Pas de review,
